1TE;AVENIDA ANITA GARIBALDI - 4059;PR;M.PR.1TE;CURITIBA - TERMINAL BARREIRINHA SMALL CELL 1;;;
1TP;RUA PADRE ANCHIETA -  S/N;PR;M.PR.1TP;CURITIBA - TERMINAL CAMPINA DO SIQUEIRA SMALL CELL 1;;;
KAF;AV PREFEITO OMAR SABBAG - 501;PR;M.PR.KAF;CURITIBA - AFONSO CAMARGO;;;
KSR;AVENIDA NOSSA SENHORA APARECIDA - 381;PR;M.PR.KSR;CURITIBA  SEMINÁRIO 2;;;
KSV;RUA LEONCIO CORREIA - 267;PR;M.PR.KSV;CURITIBA - SILVA JARDIM 2;;;
1KD;RUA ALFREDO BUFREN - 255;PR;M.PR.1KD;CURITIBA - PRAÇA SANTOS ANDRADE SMALL CELL 1;;;
1KO;RUA SANTA RITA DURAO - 578;PR;M.PR.1KO;CURITIBA - PARQUE SÃO LOURENÇO SMALL CELL 1;;;
1KU;RUA AMINTAS DE BARROS - 401;PR;M.PR.1KU;CURITIBA - UFPR SMALL CELL 1;;;
KFE;SITE EM BUSCA - CURITIBA;PR;M.PR.KFE;CURITIBA - FERNANDO DE NORONHA;;;
1KI;PRACA DA UCRANIA -  S/N;PR;M.PR.1KI;CURITIBA - PRAÇA UCRÂNIA SMALL CELL 1;;;
1TB;RUA JOSE DE OLIVEIRA FRANCO - 1669;PR;M.PR.1TB;CURITIBA -  TERMINAL BAIRRO ALTO SMALL CELL 1;;;
1TC;AV MARECHAL MASCARENHAS DE MORAIS - 125;PR;M.PR.1TC;CURITIBA - TERMINAL SANTA CÂNDIDA SMALL CELL 1;;;
KPQ;R PADRE JOSÉ MARTINI - Nº 1399 - CURITIBA;PR;M.PR.KPQ;CURITIBA LAMENHA PEQUENA;;;
KRE;Rua Rockefeller - 825;PR;M.PR.KRE;CURITIBA - REBOUÇAS 2;;;
KEC;RUA CORONEL PEDRO SCHERER SOBRINHO - 394;PR;M.PR.KEC;CURITIBA - EDIFICIO LE CHANSONS;;;
KF1;RUA MARCOS MOCELLIN - 284;PR;M.PR.KF1;CURITIBA - SANTA FELICIDADE 1;;;
KUC;RUA IMACULADA CONCEIÇÃO - 1155;PR;M.PR.KUC;CURITIBA - PUC;;;
1TV;RUA JOAO HAVRO - 45;PR;M.PR.1TV;CURITIBA - TERMINAL BOA VISTA SMALL CELL 1;;;
1TL;RUA LUCIANO CARDINALE - 81;PR;M.PR.1TL;CURITIBA - TERMINAL CABRAL SMALL CELL 1;;;
1KH;ALAMEDA DOUTOR CARLOS DE CARVALHO - 1181;PR;M.PR.1KH;CURITIBA - PRAÇA ESPANHA SMALL CELL 1;;;
1KM;RUA MARCELINO CHAMPAGNAT -  S/N;PR;M.PR.1KM;CURITIBA - PRAÇA DAS MERCÊS SMALL CELL 1;;;
1TD;RUA SANTA BERTILA BOSCARDIN - 140;PR;M.PR.1TD;CURITIBA - TERMINAL SANTA FELICIDADE SMALL CELL 1;;;
1KR;AVENIDA AV PRESIDENTE AFFONSO CAMARGO - 330;PR;M.PR.1KR;CURITIBA - RODOFERROVIÁRIA SMALL CELL 1;;;
KDA;RUA DESEMBARGADOR WESTPHALEN - 15;PR;M.PR.KDA;CURITIBA - EDIFICIO DANTE ALIGHIERI;;;
KB3;RUA EUCLIDES DA CUNHA - 730;PR;M.PR.KB3;CURITIBA - BIGORRILHO 3;;;
KBH;RODOVIA DOS MINERIOS - 1300;PR;M.PR.KBH;CURITIBA ABRANCHES (REMANEJ. K01);;;
1KG;Rua Frei Bernardino Tomat - Nº 330  - CURITIBA;PR;M.PR.1KG;CURITIBA - PARQUE TANGUÁ SMALL CELL 1;;;
KJP;Av. Victor Ferreira do Amaral - 2633;PR;M.PR.KJP;CURITIBA - JOCKEY PLAZA SHOPPING;;;
KJV;Rua Deputado Mario de Barros - Nº 915 (Ed. Vintage)  - CURITIBA;PR;M.PR.KJV;CURITIBA - JUVEVÊ;;;
KD5;Rua Edmundo Saporski - Nº 534 - CURITIBA;PR;M.PR.KD5;CURITIBA - K35;;;
